분류,자치구,공연/행사명,날짜/시간,장소,기관명,이용대상,이용요금,출연자정보,프로그램소개,기타내용,홈페이지 주소,대표이미지,신청일,시민/기관,시작일,종료일,테마분류,위도(Y좌표),경도(X좌표),유무료,문화포털상세URL
클래식,강북구,[세종문화회관] 삼육대학교 음악학과 피아노 동문장학회 입상자 연주회,2023-06-18~2023-06-18,꿈의숲 콘서트홀,세종문화회관,만 8세 이상,전석 무료,,,,https://www.sejongpac.or.kr:443/portal/performance/performance/view.do?performIdx=35268&menuNo=200004&sdate=2024-05-24&searchWrd=&searchSort=1&searchCnd=1&searchPlaceCdStr=P%2CALL&edate=2024-06-30&searchPackage=&pageIndex=5,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a7adb406f3ac4ee980c64f6e41850d7c&thumb=Y,2024-05-24,기관,2023-06-18,2023-06-18,기타,37.62025446,127.0443247,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=147046&menuNo=200008
전시/미술,노원구,[서울시립 북서울미술관] 서도호와 아이들 : 아트랜드,2023-05-02~2025-12-31,서울시립 북서울미술관 1층 하트탱크,서울시립북서울미술관,누구나,,,,,https://sema.seoul.go.kr/kr/whatson/exhibition/detail?exNo=1192249,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=55ac590a3f7748f880c1b4809c81e2bd&thumb=Y,2024-04-02,기관,2023-05-02,2025-12-31,기타,37.64066045,127.0668656,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=145911&menuNo=200009
교육/체험,종로구,[서울역사박물관] 말하는 박물관,2023-03-15~2023-12-13,서울역사박물관,서울역사박물관,5-7세 유아,,,,,https://museum.seoul.go.kr/www/board/NR_boardList.do?bbsCd=1005&categoryVal=&sso=ok,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4b52a6059bf14950965f2217281c5043&thumb=Y,2023-11-01,기관,2023-03-15,2023-12-13,,37.57050753,126.9705237,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143966&menuNo=200011
전시/미술,종로구,2023 서울우리소리박물관 특별전 [자장자장 도담도담],2023-05-05~2024-04-28,서울우리소리박물관 기획전시실,서울우리소리박물관,전체관람가,,,,,http://gomuseum.seoul.go.kr/sekm/front/display/specialView.do?locale=KO&e_cd=3&e_id=55,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=3b51b7e6cf76455b8562545e2efba71b&thumb=Y,2023-10-18,기관,2023-05-05,2024-04-28,기타,37.57715793,126.989622,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143765&menuNo=200009
교육/체험,종로구,[서울우리소리박물관] 자율학습프로그램 [자연관찰 우리소리],2023-04-04~2023-12-31,서울우리소리박물관 1층 누마루,서울우리소리박물관,어린이,,,,,http://gomuseum.seoul.go.kr/sekm/front/edu/program.do?locale=KO#none,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=0b6a7fcb1b8b4a879c00fcafe93c3aaa&thumb=Y,2023-10-17,기관,2023-04-04,2023-12-31,어린이/청소년 문화행사,37.57715793,126.989622,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143751&menuNo=200011
교육/체험,종로구,[서울시립 미술아카이브] 아카이브 산책-건축편,2023-08-24~2023-11-18,서울시립 미술아카이브 모음동 1층,서울시립미술관,누구나,무료,,,,https://sema.seoul.go.kr/kr/whatson/education/detail?acadmyEeNo=1211817,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=578e8fb4b8914f69ade7d301729845ee&thumb=Y,2023-10-14,기관,2023-08-24,2023-11-18,가족 문화행사,37.60780084,126.9719018,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143696&menuNo=200011
영화,중구,청춘극장 9월 상영작 안내,2023-08-30~2023-09-27,청춘극장 문화일보홀,서울시청,프로그램별 상이,"1인 2,000원",,,,https://cafe.naver.com/seoulsilvercinema,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=3de512bc7027427a887b321320b24616&thumb=Y,2023-09-25,기관,2023-08-30,2023-09-27,어르신 문화행사,37.56712921,126.9686448,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143504&menuNo=200013
전시/미술,마포구,"[마포문화재단] Glimpses, 순간의 아름다움",2023-08-24~2023-09-22,마포아트센터 스튜디오 3,마포문화재단,전체 관람가,,,,,https://www.mfac.or.kr/performance/whole_view.jsp?sc_b_category=17&sc_b_code=BOARD_1207683401&pk_seq=2256&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=dd69568264394679ac1c18a4f2712a20&thumb=Y,2023-09-21,기관,2023-08-24,2023-09-22,기타,37.54990609,126.9455338,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143439&menuNo=200009
전시/미술,중구,Dynamite Looks BTS 그래미 어워드 무대 의상 전시(with 이랜드뮤지엄),2023-08-31~2023-10-03,DDP 디자인랩 1층,동대문디자인플라자,누구나,,,,,https://ddp.or.kr/index.html?menuno=239&siteno=2&bbsno=491&boardno=15&bbstopno=491&act=view&subno=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f73ad722bd4143eba1c0cc9754339139&thumb=Y,2023-09-14,기관,2023-08-31,2023-10-03,,37.56681313,127.0096257,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143330&menuNo=200009
전시/미술,중구,[2023 남산골아트랩 이상한옥(理想韓屋) 세 번째 전시 '이상한 방문' 김지훈,2023-08-29~2023-09-24,남산골한옥마을 이승업 가옥,남산골한옥마을,제한없음,,,,,https://www.hanokmaeul.or.kr/ko/h/exh/2023-%eb%82%a8%ec%82%b0%ea%b3%a8%ec%95%84%ed%8a%b8%eb%9e%a9-%ec%9d%b4%ec%83%81%ed%95%9c%ec%98%a5%e7%90%86%e6%83%b3%e9%9f%93%e5%b1%8b-%ec%84%b8-%eb%b2%88%ec%a7%b8-%ec%a0%84%ec%8b%9c-%ec%9d%b4,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=cfef3c3a219b49a5af3de1a69d52de1d&thumb=Y,2023-09-11,기관,2023-08-29,2023-09-24,,37.5591447,126.9936826,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143251&menuNo=200009
